[START_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big 12,North,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-12,North,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conf USA,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt West,Mountain,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Belt,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,Indy,Indy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[START_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,BC,ACC,73,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson,CLEM,ACC,97,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,DUKE,ACC,68,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,FSU,ACC,70,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,GT,ACC,64,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,LOUI,ACC,65,Atlantic,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,MIA,ACC,71,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,UNC,ACC,75,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,NCST,ACC,71,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PITT,ACC,65,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,SYR,ACC,81,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,WAKE,ACC,62,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VIR,ACC,77,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,VTEC,ACC,72,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,ILL,Big Ten,63,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IND,Big Ten,66,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,IOW,Big Ten,82,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,MARY,Big Ten,82,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MIC,Big Ten,89,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,MSU,Big Ten,84,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MIN,Big Ten,67,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NEB,Big Ten,65,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,NWU,Big Ten,69,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,OSU,Big Ten,90,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State,PSU,Big Ten,84,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,PUR,Big Ten,66,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,RUT,Big Ten,62,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WIS,Big Ten,81,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,BAY,Big 12,64,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,ISU,Big 12,78,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,TTEC,Big 12,66,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KAN,Big 12,63,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,KSU,Big 12,65,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OKL,Big 12,90,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,OKST,Big 12,74,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TEX,Big 12,88,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,TCU,Big 12,76,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WVU,Big 12,75,North,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,ARIZ,Pac-12,76,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,ASU,Pac-12,72,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CAL,Pac-12,77,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,COL,Pac-12,74,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OREG,Pac-12,86,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,ORST,Pac-12,66,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,STAN,Pac-12,79,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,UCLA,Pac-12,68,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,USC,Pac-12,77,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WASH,Pac-12,84,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State,WSU,Pac-12,81,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,UTAH,Pac-12,84,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,BAMA,SEC,95,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,ARK,SEC,70,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,AUB,SEC,86,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FLOR,SEC,87,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,UGA,SEC,92,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,UK,SEC,72,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,LSU,SEC,91,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MIZ,SEC,79,East,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,MISS,SEC,70,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,MSST,SEC,77,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,SEC,75,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TENN,SEC,64,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas AM,TXAM,SEC,86,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,VAND,SEC,67,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Florida,UCF,American,84,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,CINN,American,71,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina,ECU,American,64,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,HOU,American,76,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
